text,joy,sadness,anger,fear,surprise,love,neutral
I was definitely excited about this and the possibilities that could come from it so I was pumped to show everyone what I could do.,1,0,0,0,0,0,0
I talked to a friend the day before that I have not talked to in a long time. Catching up with him was truly interesting and exciting. I wish we could do that more often.,1,1,0,0,0,0,0
teresa finally called back and it took her all of 10 minutes to get worked up again. I'm a about sick of this yeast and bi-polar  BS. I'll just handle it like the last 27 years. These autumn/holidays annual depressions are so predictable. She was rewriting history again. I wish she would quit taking every subtle difference of opinion as a personalttack!,0,0,1,1,0,0,0
I started a new workout routine this week and it felt great yesterday.  I can actually feel a difference it makes me feel more energetic. I am certain to continue with this routine.,1,0,0,0,0,0,0
Everyone loves sleep. The past 6 months have created a whole new schedule for myself so come evening I'm ready for bed!,1,0,0,1,0,0,1
"I tried to cook yesterday, but as usual it turned out not so enjoyable I experience bad about my cooking skills.",1,0,1,1,0,0,0
Today I told the person I love most how much they mean to me. We went for a walk and talked about everything and nothing. The a full heart between us is real and deep.,0,0,0,0,0,1,0
I thought about my oldest friend a lot today. I realize more and more how rare it is to have someone like them. The a quiet steady love I carry for them is consistent and true.,0,0,0,0,0,1,0
I was astonished today. I ran into someone I had not seen since childhood. I sat with the news for a long time before responding. I kept going back to it all day.,0,0,0,0,1,0,0
I had a good night sleep after all the hard work and great food I had during the day.,1,0,0,0,0,0,0
I had to rely on my faith in God to help get me through feelings I've had concerning a recent breakup.,1,0,0,0,0,0,1
I felt both angry and scared today. The whole thing was mishandled from start to finish. The situation made me furious but also deeply anxious about what might happen next.,0,0,1,1,0,0,0
Went out to dinner with friends. had a great time and it made me happty,1,0,0,0,0,0,0
I watched a really good movies on my VCR. I enjoyed it.,1,0,0,0,0,0,1
Yesterday I worked online most of the day. I discovered an assignment I had done the previous day was rejected. This assignment provided a considerable reward so I basically lost about an hour's worth of work. That was frustrating. We need the money I am making onine right now to pay our bills so I was also concerned about making enough money. However at the end of the day I hit my earnings goal so I was satisfied with my progress.,1,0,1,0,0,0,1
"Life sent me a surprise today. I received news I never would have anticipated. I found myself just staring, trying to make sense of it. It will take a while to fully sink in.",0,0,0,0,1,0,0
Had a dish my mom usually makes. Somehow it did not feel the same.,0,1,0,0,0,0,0
my friends are a long time fixture in my life,1,1,0,0,0,0,0
Today moved at its usual pace. I read a bit and watched some television. I felt fine and just went through my normal activities.,0,0,0,0,0,0,1
I got to watch some tv with friends. We watched our favorite show which has been on for almost twenty years. We laughed and had a nice time.,1,1,0,0,0,0,0
"The most salient thing about my day yesterday was recreation, or maybe I should say, the lack thereof. I was so distracted and bored yesterday, I couldn't find anything to keep myself occupied with all day long. I was antsy most of the day and it was entirely frustrating. I tried to talk to a few friends about it, maybe make some plans to do something, but they were all otherwise engaged for the day, which made it even more frustrating. I quite need to composed my mind so I can focus on something, get immersed in it. That'll help the anxiety and the boredom.",0,0,1,1,0,0,1
I drove to the nearest town. It made me sad. I was thinking about my ex.,0,1,0,0,0,0,0
"I played video games that night trying to relax, in the end it made me bored, I should have picked a different one.",0,0,0,0,0,0,1
I watched Survivor last night and the masked singer. Love both of those shows.,0,0,0,0,0,0,1
I would not have believed it if someone had told me. What I thought was one thing turned out to be something entirely different. I had to read it twice before it registered.,0,0,0,0,1,0,0
Today someone who means the world to me reminded me why I carry a quiet steady love for them every single day. They remembered a small detail I had mentioned and it moved me deeply.,0,0,0,0,0,1,0
Thinking about my mother today brought me warmth and tenderness. The connection we share is something I protect and value deeply. I am lucky to have them.,0,0,0,0,0,1,0
Life sent me a surprise today. A conversation took a turn I had not prepared for at all. I sat with the news for a long time before responding. It will take a while to fully sink in.,0,0,0,0,1,0,0
The situation left me both frustrated and heartbroken. I felt completely disrespected. I wanted to be angry but kept slipping into sadness.,0,1,1,0,0,0,0
"God is my everything, He not only created me, but He also sustains me. He gives me a reason to believe and hope even when things look grim.",1,1,0,0,1,0,1
Something I never anticipated happened. A conversation took a turn I had not prepared for at all. My mind went blank for a few seconds. Life has a way of reminding you that you do not know everything.,0,0,0,0,1,0,0
I met with my mom and niece to have ice cream after school. She is 6 and was so excited. We talked about her day at school. It was fun!,1,0,0,0,0,0,0
Pissed sorrowful mad and enraged not knowing if they were going to ship my medicine out.,0,0,1,0,0,0,0
"school is taking longer than i was expecting. i am couple classes away from graduating with my stem cell engineering degree. but something always comes up. my mother has been sick lately, had to drop classes this semester to be able to attend to her. i have faith i will be able to finish but not in the time i thought.",0,0,1,1,0,0,0
Today was a mix of happiness and worry. We had a wonderful time together. But I also found myself anxious about the future. The two feelings sat side by side.,1,0,0,1,0,0,0
I was completely caught off guard today. I received a gift I would never have thought to ask for. I kept replaying it to make sure I had understood correctly.,0,0,0,0,1,0,0
The work outs  I do are for my health and to give me strength and endurance.I always feel accomplished after each work out and weight workout,1,0,0,0,0,0,0
I slept terribly the night before.  My back started hurting really badly and I don't know why.  So I just tossed and turned for hours and woke up feeling bad.  I was confused because I'd been feeling physically fine recently and don't know where the back pain came from.  I also worried that my sleep was going to be affected like this going forward.,0,0,0,1,0,0,1
"Work has been so busy, I find it hard to keep up and manage. I cannot wait until my vacation in December - I need the time off badly.",0,0,1,1,0,0,0
My husband is the most important thing in my life. He makes me feel loved and secure.,1,0,0,0,0,0,1
"Out of nowhere, I found out something that changed everything I had assumed. I needed a moment before I could say anything. It was genuinely shocking.",0,0,0,0,1,0,0
For dinner my wife and I decided to make pasta. We were low on everything else but we had noodles and some sauce. We added some italian seasoning and some red pepper flakes. It actually tasted excellent! It reminded me of my childhood.,1,1,0,0,0,0,0
I was shocked today when I got completely unexpected news. I genuinely did not see this coming at all.,0,0,0,0,1,0,0
I spent time with my family and felt completely full of love. They did something small but incredibly thoughtful. Moments like these remind me how lucky I am.,0,0,0,0,0,1,0
"Out of nowhere, Something I had been waiting a long time for arrived suddenly without warning. I genuinely did not know how to react at first. It was genuinely shocking.",0,0,0,0,1,0,0
I felt genuinely happy today but also a little sad. Everything went better than expected. There was something melancholy about it all the same.,1,1,0,0,0,0,0
Something I never anticipated happened. Something happened that completely rewrote my understanding of the situation. It took a while before I could process what had happened. I did not see it coming and I am not sure what to do with that.,0,0,0,0,1,0,0
"I exercised for the first time in a while yesterday. It was tough getting back into it, but I felt satisfied by the end of it.",1,0,0,0,0,0,0
I was working on a project at work i was having issues with. Made me truly distressed and confused.,1,0,1,1,0,0,1
I had a plan for today. Then I discovered information that explained things I had wondered about for years. I sat with the news for a long time before responding. Everything changed.,0,0,0,0,1,0,0
I felt genuinely happy today but also a little sad. I accomplished something meaningful. There was something melancholy about it all the same.,1,1,0,0,0,0,0
I finished a large project for work that myself and my team have been working on for the last three weeks.  The finishing touches were put on the project and the client liked it.  It is such a good feeling to complete such a large project and then have the hard work pay off when it is liked and accepted.,1,0,0,0,0,0,0
"I am really struggling with my son. He has been diagnosed with autism and adhd but he is really high functioning and near genius level intelligence. Our problem is that he hates everyone in the house. He doesn't want to be part of a family. He doesn't want to have brothers or a mom. He wants to be alone all the time. He is 12. Obviously these are unrealistic thoughts he is having. He makes it so trying to get along with him. He treats everyone badly and refuses to even try to change his negative behavior, instead using his diagnoses as an excuse for it. He has been to multiple different specialists, now we have one that comes to our home 3x a week and we have made no progress. In over three years. I'm tired.",0,1,1,1,0,0,0
After my nap I tried to do some online survey but I was all foggy and disorented and only lasted attempting to work for a few hours before I layed down again,0,0,1,0,0,0,1
"Today reminded me that certainty is an illusion. Something happened that completely rewrote my understanding of the situation. I found myself just staring, trying to make sense of it. Life has a way of reminding you that you do not know everything.",0,0,0,0,1,0,0
My job laid me off. I knew it was coming so i was not surprised but i was frustrated that i have to find a new job now and anxious that i will not have enough income this month.,0,1,1,1,0,0,0
"Mturk was utterly dismal yesterday, with the majority of HITs from ******* who find paying $3 or less per hour is just fine.",0,0,1,0,0,0,0
I went to bed at my normal time but fell right to sleep. I got a good 8 hours of sleep. It is nice getting enough sleep.,1,0,0,0,0,0,0
I went through my usual routine. I ran some errands and kept to my routine. In the afternoon something nice happened. I felt genuinely appreciated today. I ended the day feeling calm and pleased.,1,0,0,0,0,0,1
I forgot to tell my friend I could not make it to dinner and had to white lie.,0,0,0,1,0,0,1
Today surprised me in a way I was not prepared for. Someone I barely knew did something that completely surprised me. I needed a moment before I could say anything.,0,0,0,0,1,0,0
I do not always say it out loud but I feel so much love for my closest friend. They make everything better just by being there. Today that feeling was especially present.,0,0,0,0,0,1,0
"I usually have a hard time sleeping well at night but not yesterday. I had an enjoyable day with family, I worked hard at my job, and overall had a truly good day. Therefore, when Things were time for bed, I was ready for it. I was even able to go to bed a little early. I slept through the night and felt deeply refreshed when I woke up.",1,0,0,0,0,0,1
Today my family reminded me why I feel so lucky. We went for a walk and it felt like the world was just ours. The love I carry for them is something I cherish deeply.,0,0,0,0,0,1,0
I am being transferred to Pittsburgh and I am supposed to start in January.  I have been going back and forth with HR about details of the relocation policy and I have to choose an option soon.  It's a big decision.,0,0,1,1,0,0,0
My husband is the best ever and always makes me feel wanted and loved!,1,0,0,0,0,0,0
"I was extremely anxious while waiting at the doctor's office to find out my test results, and whether or not I would need a transplant soon.",0,0,0,1,0,0,0
I found out yesterday I have a severe case of bronchitis. At first they thought it was pneumonia until the xray came back negative. I already deal with out of control asthma every day of my life. I'm confused how I got sick. I'm frustrated and upset/,0,1,1,1,1,0,1
Today was a beautiful day because of someone very dear to me. We spent time together doing nothing in particular and it was perfect. I felt both deeply in love and genuinely happy. It was a perfect combination.,1,0,0,0,0,1,0
News came through a channel I never would have guessed. It took a while before I could process what had happened. I am still processing what happened.,0,0,0,0,1,0,0
Today was a beautiful day because of my partner. We spent time together doing nothing in particular and it was perfect. I felt both deeply in love and genuinely happy. It was a perfect combination.,1,0,0,0,0,1,0
Work is rather salient because I spend the majority of my day there. Nothing particularly exciting or interesting truly happened there but it was fairly busy as it usually is. Given that we're federal employees who are excepted from the furlough but not being paid to work we spent a lot of our day talking about the shut down and what if anything Trump is doing to attempt to alleviate it.,0,0,1,1,0,0,0
"I had to walk into a shitshow, where there was no support staff, multiple call-offs, and openers had walk-in assignments. I had to do twice as much as normal.",0,0,1,1,0,0,0
Found out I have kidney issues.,0,0,1,0,0,0,0
I felt scared about an upcoming challenge and sad about simpler times. It was a hard day emotionally.,0,1,0,1,0,0,0
"got a great nights sleep after taking nyquil for my cold.  didnt wake up once, not even to pee until 830 am! a new record i think!",1,0,0,0,0,0,0
Being with my children is one of the greatest things in my life. We cooked together and laughed and talked for hours without noticing the time. I feel warmth and tenderness whenever I think of them.,0,0,0,0,0,1,0
I spent the evening with my siblings today and felt profound gratitude. They did something thoughtful without being asked. I left feeling grateful and warm.,0,0,0,0,0,1,0
"There was an incident with my spouse where he was trying to restrain our dog that recently had surgery when we were going to feed him. Unfortunately, the dog reared his head back and hit my spouse in the mouth and knocked out his dental crown. This situation surprised me and made me anxious/frustrated because my spouse was really upset and now we'd have additional expenses to fix his dental work.",0,0,1,1,1,0,0
"When I got home, I found out my youngest had made the basketball team at his school. He had been working hard to improve his skills and it paid off.",1,1,0,0,0,0,0
I read yesterday and it helped calm me down from a stressful day at work.,1,0,0,0,0,0,1
My daughter is having marital problems and is staying with me. Upset about them.,0,1,0,0,0,0,0
Today reminded me that life can change in an instant. Something happened that I am still trying to process. I was genuinely stunned.,0,0,0,0,1,0,0
"Every morning I take my son to school and husband to work, then head home to work my job and take care of the household. I most look forward to them returning home to me, so we can spend the evening together. I missed them, as always and was so happy when they got home!",1,0,0,0,0,0,1
I was reading and relaxing and looking out the window. It was nice to spend time peacefully by myself and just look at nature and the fall colors.,1,0,0,0,0,0,0
I find myself anxious because my business is not doing so well.,0,0,0,1,0,0,0
I ate a sandwich that I enjoyed for lunch. It was very delicious and satisfying. I was looking forward to eating it.,1,0,0,0,0,0,0
I had an awkward encounter with my boss when he caught me texting while in my office...,0,0,0,1,0,0,0
I thought I knew what to expect today. I was wrong. I received news I never would have anticipated. I needed a moment before I could say anything.,0,0,0,0,1,0,0
It was a busy week day.  I had to juggle work and also my family.  I did a good job getting everything done.,1,0,0,0,0,0,0
I realized today how much my parents shapes my sense of safety and happiness. They told me they were proud of me and I did not realize how much I needed to hear it. It is deep care and admiration.,0,0,0,0,0,1,0
Had a meeting with our owner about our losses it was not satisfying we are in the hole financially big time.,0,0,1,1,0,0,0
The connection we share is something I protect and value deeply. Today especially I was aware of the deep affection I have for my family. They listened without offering advice and it was exactly what I needed.,0,0,0,0,0,1,0
Not much happened at work. It was pretty regular day of work. I did all that I had to do for work. There was nothing quite different about it.,0,0,0,0,0,0,1
I was frustrated about the way things were handled but also worried about the future. The two feelings made it hard to stay calm.,0,0,1,1,0,0,0
My thoughts kept returning to the person I love most today. I don't take them for granted. The affection I feel is real and steady and I am thankful for it.,0,0,0,0,0,1,0
I drove to the nearest town. It made me melancholy I was thinking about my ex.,0,1,0,0,0,0,0
Every night we have dinner as a family. It means a lot to us as it's a special time together to be calm and relaxed outside of work and school.,0,1,0,1,0,0,0
Every day I feel lucky to have them in my life. Today especially I was aware of the warmth and tenderness I have for my children. They did something thoughtful without being asked.,0,0,0,0,0,1,0
I thought about the person I love most a lot today. Every day I feel lucky to have them in my life. The genuine love I carry for them is consistent and true.,0,0,0,0,0,1,0
I think for my age I really cannot complaint compared to others.  I still do not need to take any daily medication except for seasonal allergy.  My energy still great and every night I could rest good.  Really you can't ask for more.,1,0,0,0,0,0,0
My SO is recovering from a serious illness and has satisfying days and bad days. Yesterday was a bad day for her and I felt so sorry for her. I wished there had been something I could do to make her experience wonderful but all I could do was help her and take care of her the best I could. She was glad to see yesterday end.,0,0,1,0,0,0,0
I was really frustrated today about the way things were handled. I was not heard at all. It felt so unfair and I couldn't let it go.,0,0,1,0,0,0,0
"I really got a good night's sleep last night.  I was in bed early, and I didn't wake up through the night.  That doesn't happen very often!",1,0,0,0,0,0,1
They listened without offering advice and it was exactly what I needed. I felt profound gratitude and could not stop thinking about how fortunate I am to have my loved ones.,0,0,0,0,0,1,0
I spoke with my husband. He said he has not been feeling well. He feels like he needs to change some habits. I said I would help him with whatever he needed.,0,0,0,1,0,0,1
"Working for slave wages and getting screwed and exploied every day, seven days a week, is driving me nuts.  I hate it.  Why can there be any decent requestors who pay a living wage?",0,0,1,1,0,0,0
Thinking about my children today brought me the kind of love that feels like home. The connection we share is something I protect and value deeply. I am lucky to have them.,0,0,0,0,0,1,0
Remindes my of all the food cooked for me by my husband!,0,1,0,0,0,0,0
"While work can be a pain, being able to make your own hours and choose as you see fit makes it enjoyable.",1,0,1,0,0,0,0
"I appreciated eating a bacon cheeseburger from my favorite restaurant, Cheddars. I used to eat bacon cheeseburgers all the time when I was younger. The food made me find myself elated and nostalgic.",1,1,0,0,0,0,0
I went through my day calmly on the outside. I spent time at home doing some chores. Inside I was both irritated about the way things were handled and nervous about what might happen next.,0,0,1,1,0,0,1
Today I tried to stay composed. I had a few meetings and wrapped up some work. But I was frustrated about the way things were handled and anxious about what might happen next at the same time.,0,0,1,1,0,0,1
I went to a cardiologist yesterday and was given a heart monitor. I was diagnosed with SVT.,0,0,1,1,0,0,0
I realized today how much my siblings shapes my sense of safety and happiness. They listened without offering advice and it was exactly what I needed. It is genuine love.,0,0,0,0,0,1,0
Today surprised me in a way I was not prepared for. A decision was made that nobody in my circle had expected. I kept replaying it to make sure I had understood correctly.,0,0,0,0,1,0,0
We had friends surprise us with a visit. We haven't seen them over 2 years. We were all so excited! They are from Hawaii and it is snowing here so we got to play in the snow with them and build a snowman!,1,1,0,0,0,0,1
"I had pizza from a place I did not have since childhood, it was an interesting experience.",0,1,0,0,1,0,0
I made a dish from my grandma's recipes that came out great. It made me nostalgic and happy.,1,1,0,0,0,0,0
I found myself concerned that I haven't been exercising at the gym. I went for a walk but would have liked even more moderate activity for my health.,0,0,0,1,0,0,0
A calm but heavy day. I went to work and completed my usual tasks. I felt a quiet sadness through most of it without any particular reason.,0,1,0,0,0,0,1
I had an amazing dinner with my family. Everybody was in a great mood and shared their news and what's going on in their lives,1,0,0,0,0,0,1
I was able to take a really good nap the other morning. I was able to cuddle with my cat and it felt so relaxing and calm. It's exactly what I needed.,0,0,0,0,0,0,1
At work it was a really slow day. I could not wait to get off and go home. There was too many things to do at my job. It was a really long tiring day.,0,0,0,1,0,0,1
"Nothing in my day prepared me for what came. A message arrived that stopped me in my tracks. I found myself just staring, trying to make sense of it.",0,0,0,0,1,0,0
A fairly typical day. I had a few meetings and wrapped up some work. I had a pleasant moment with my friends that made me smile.,1,0,0,0,0,0,1
I went through my day calmly on the outside. I ran some errands and kept to my routine. Inside I was both irritated about the way things were handled and nervous about the future.,0,0,1,1,0,0,1
"I tried to accomplish something as part of a hobby, but failed after repeated attempts.",0,0,1,0,0,0,0
"My brother and nephew, who I don't see as much anymore, both came over to play basketball at the gym with me. My car has been down for a few weeks so I've been stuck in the house a lot lately. It felt really good to get out of the house and spend time with my family. We talked about a  lot of different things like basketball, life back in Pennsylvania, and work life. It felt like I refueled after spending time with them.",1,1,0,0,0,0,0
"Out of nowhere, News came through a channel I never would have guessed. I needed a moment before I could say anything. It was genuinely shocking.",0,0,0,0,1,0,0
I felt scared about the uncertainty ahead and sad about how things used to be. It was a hard day emotionally.,0,1,0,1,0,0,0
"My brother and nephew, who I don't see as much anymore, both came over to play basketball at the gym with me. My car has been down for a few weeks so I've been stuck in the house a lot lately. It felt deeply satisfying to get out of the house and spend time with my family. We talked about a lot of different things like basketball, life back in Pennsylvania, and work life. It felt like I refueled after spending time with them.",1,1,0,0,0,0,0
I ran a few miles in Florida. I waas tired from travelling but I still got my workout in.,1,0,0,0,0,0,0
"My husband came home from work with a cold. He sounds awful, and he didn't take anything for it. I am anxious that I am going to get sick also.I don't want his cold.",0,0,1,1,0,0,0
spending time with my family is what I do everyday. its something that makes me really happy,1,0,0,0,0,0,0
Work is rather salient because I spend the majority of my day there. Nothing particularly exciting or interesting quite happened there but it was fairly busy as it usually is. Given that we're federal employees who are excepted from the furlough but not being paid to work we spent a lot of our day talking about the shut down and what if anything Trump is doing to attempt to alleviate it.,0,0,1,1,0,0,0
I felt angry and sad today in equal measure. The situation was handled completely wrong. What happened hurt me deeply and also made me furious.,0,1,1,0,0,0,0
we had italian food it was so good and yummy i had alfredo with bread and salad it was so tasty,1,0,0,0,0,0,1
"I slept in until almost noon. I never sleep that late, it was quite surprising to me.",0,0,0,0,1,0,1
Today was quiet. I had a few meetings and wrapped up some work. But there was an underlying sadness I couldn't quite name. I managed to get through the day.,0,1,0,0,0,0,1
"Yesterday, I had to go to work. It was my first day back to work after my weekend, so I was pretty frustrated and sad. It was a pretty boring day overall.",0,1,1,1,0,0,1
Today I was reminded of how deeply I care about the person I love most. We cooked together and talked and laughed for hours. That love is one of the most important things in my life.,0,0,0,0,0,1,0
I went through my routine as normal. I had a few meetings and wrapped up some work. Underneath I was feeling low and a bit sad but tried to stay composed.,0,1,0,0,0,0,1
I wanted to get a lot of work done in a small amount of time that I had.,0,0,0,1,0,0,0
"I did a little cooking and planning for myself yesterday, and it involved re-thinking about my shopping plans for the week - I need more protein and some more variety for my daytime meals ad snacking.  Time to lower the sugar in my diet, and think about how to accomplish the food selection/diet without spending too much money or prep time.",1,0,0,1,0,0,0
I got news today that I could not have imagined hearing. I received something I had not been expecting at all. It is difficult to describe how surprised I was.,0,0,0,0,1,0,0
My health is not in lovely condition. I am still young but my dentals are terrible. I have arthritis and muscle pains. I've lived this life to years now already.,0,1,1,0,0,0,0
"We picked out or artificial Christmas tree online yesterday. It is one of the ones we genuinely wanted last year but, could not afford at that time. It is one of the ones with an app so that you can set the individual lights to whatever color you want. Because we ordered it online I am anxious for it's arrival. I can remember Christmas's past and picture how this tree will be bright and gorgeous for years to come.",1,1,0,1,0,0,0
It always makes me feel accomplished to see my family and how well they are doing.,1,0,0,0,0,0,0
I felt both angry and scared today. The situation was handled completely wrong. The situation made me furious but also deeply anxious about what might happen next.,0,0,1,1,0,0,0
I was enraged but also nervous. The whole thing was mishandled from start to finish. The anger was on the surface but underneath there was real fear about the consequences.,0,0,1,1,0,0,0
I felt deeply anxious most of the day. The situation feels unpredictable. I spoke to someone I trust which helped a little.,0,0,0,1,0,0,0
I have been feeling anxious about my health lately. The situation feels unpredictable. The uncertainty makes everything feel unsettling.,0,0,0,1,0,0,0
"Today reminded me that certainty is an illusion. A plan I had relied on collapsed in a way nobody saw coming. I found myself just staring, trying to make sense of it. I feel differently about things because of it.",0,0,0,0,1,0,0
"My furnace doesn't work. It might cost around $1,500 to replace it, because it is old. I am working my behind off on Amazon Mechanical Turk and eBay to earn the money.",0,1,1,1,0,0,0
When I had the vertigo attack I was able to make it to bed without falling down. I took a three hour nap. When I woke up I was a bit foggy like I normally after having vertigo attack but I was able to do some work.,1,0,0,0,0,0,1
Life sent me a surprise today. A message arrived that stopped me in my tracks. My mind went blank for a few seconds. I feel differently about things because of it.,0,0,0,0,1,0,0
Today surprised me in a way I was not prepared for. A message arrived that stopped me in my tracks. I kept replaying it to make sure I had understood correctly.,0,0,0,0,1,0,0
I thought about how different my life would be without them. Today especially I was aware of the the kind of love that feels like home I have for my spouse. They did something thoughtful without being asked.,0,0,0,0,0,1,0
My brother came from Arizona to help me in recovering a bit more from surgery last week.,1,0,0,0,0,0,0
My health is something that makes me anxious but still over satisfied. I am calm knowing that things could be alot worse.,1,0,0,1,0,0,1
My son was sent home from school yesterday throwing up. It made me anxious and troubled because he's nonverbal and can't tell me what's going on.,0,0,1,1,0,0,0
A college budy was in my neck of the woods so he invited me to meet up for dinner. We ate at a delicious bbq place. I relished catching up with him and reminicsing about old times.,0,1,0,0,1,0,0
We went out to a local restaurant and had a nice dinner. They had a chicken special that was great and I had a nice glass of wine. My family and I had a great time chatting and laughing. It felt really good to relax.,1,0,0,0,0,0,0
Today surprised me in a way I was not prepared for. An old friend I had not spoken to in years contacted me completely out of the blue. I had to read it twice before it registered.,0,0,0,0,1,0,0
We watched I Was Prey in a glorious hours-long binge. It was fun and relaxing.,0,0,0,0,0,0,1
We watched something together and they held my hand. I felt overwhelming gratitude and could not stop thinking about how fortunate I am to have my partner.,0,0,0,0,0,1,0
I was happy to get extra sleep because I needed it. It felt so good to relax and drift off.,1,0,0,0,0,0,0
I was acting very worried for no good reasons and realized how silly I felt.,0,1,0,0,0,0,1
The situation left me both frustrated and heartbroken. The whole thing was mishandled from start to finish. I wanted to be angry but kept slipping into sadness.,0,1,1,0,0,0,0
Today I realized just how much I care for someone very dear to me. I thought about how much they mean to me. It made everything feel warmer and more meaningful.,0,0,0,0,0,1,0
I didn't see this coming at all. An old friend reached out out of nowhere. The surprise turned into pure joy once I processed what had happened.,1,0,0,0,1,0,0
Yesterday I worked on a way for my family to see my private photos on Flickr without registering on the site. I found out that anonymous guests can see the photos but they can't comment. And the comments are the main reason for the photo-sharing! quite frustrating.,0,0,1,0,1,0,1
I just found out they may be cutting my hours at work. This is going to be problematic for me going forward.,0,0,1,0,0,0,0
I went to bed early yesterday. Things were a great night's sleep. I got nearly 6 hours and had nearly 2 hours of deep sleep. Had a nice heart rate of 48 bpm.,1,1,0,0,0,0,0
At night we got to watch a movie all together as a family. We cuddled and made popcorn and loved eachothers company.,1,0,0,0,0,0,1
I went to bed at an early time and slept soundly until quite late. This is unusual for me. I usually wake up during the night. I didn't last night. I was able to sleep soundly.,1,0,0,0,0,0,1
My husband and I continued playing through Horizon Zero Dawn together. The game is turning out to be really great. It's long so it's a little annoying when he's ready to play and I'm not yet but overall it's a really fun activity that we're doing and appreciating together. It gives me many warm fuzzy feelings that I can share an appreciation for art and story with him like that.,1,0,0,0,0,0,1
I was astonished today. I received a gift I would never have thought to ask for. I genuinely did not know how to react at first. I kept going back to it all day.,0,0,0,0,1,0,0
Spending time with my closest friend always fills my heart. They did something small but incredibly thoughtful. I left feeling warm and completely at peace.,0,0,0,0,0,1,0
it was really good.  i got such a buzz off from the endorphines!,1,0,0,0,0,0,0
I have always thought I could anticipate things but today proved me wrong. I received something I had not been expecting at all. I was stunned.,0,0,0,0,1,0,0
After I dropped my son off at school I got the chance to talk to some of my friends who also have children that go to my son's school. It's really nice to be able to take the time to talk to my friends and just reconnect. Getting to talk to my friends always makes me calm and happy.,1,0,0,0,0,0,1
I felt both angry and scared today. I felt completely disrespected. The situation made me furious but also deeply anxious about what might happen next.,0,0,1,1,0,0,0
I got news today that I could not have imagined hearing. I discovered something I had never known before. It is difficult to describe how surprised I was.,0,0,0,0,1,0,0
I slept on the couch and it was uncomfortable.  I did not get to sleep quickly and I kept waking up.  I thought about how terrible my life is while trying to sleep.,0,1,0,1,0,0,0
"Things were just a walk in the park with my dogs, but the air has started to change here, it is gloomy but charged, like it's just about to rain, and because the weather was dreary, we had the park to ourselves. Nice time for reflection.",1,0,0,0,0,0,1
I've been trying to get control of my recent weight gain and yesterday was day one of my new push in that direction. I renewed my daily food log online and went through the entire day without breaking my rules. Day one a very big success.,1,0,0,0,0,0,0
My wife and I got some time to ourselves after the kids went to bed. We were able to talk and just enjoy each others company for awhile. It was a relaxing end to a good day.,1,0,0,0,1,0,0
I feel anxious because my business is not doing so well.,0,0,0,1,0,0,0
"I had a slow morning of work because I work for myself. I was feeling a little uneasy that I wouldn't make truly much. I told myself I need to push on, and I ended up hitting my daily goal and going over. I felt truly gratified of myself for persevering.",1,0,0,1,0,0,0
